Record_ID,Tortoise_ID,Tortoise_No,Sample_Date,ELISA_Date,Mag_A405,Mag_Titer,Mag_Result,Mtest_A405,Mtest_Titer,Mtest_Result,Comments,Mag_UseResult,Mtest_UseResult,DataProofed
1531,BS521,521,5/23/2013,6/13/2013,0.015,<32,Negative,0.0295,<32,Negative,,1,1,1
1532,BS523,523,5/23/2013,6/13/2013,0.029,<32,Negative,0.017,<32,Negative,,1,1,1
1533,BS531,531,5/23/2013,6/13/2013,0.031,<32,Negative,0.0215,<32,Negative,,1,1,1
1534,BS532,532,5/23/2013,6/13/2013,0.0085,<32,Negative,0.0215,<32,Negative,,1,1,1
1535,BS535,535,5/23/2013,6/13/2013,0.029,<32,Negative,0.0145,<32,Negative,,1,1,1
1536,BS550,550,5/23/2013,6/13/2013,-0.01,<32,Negative,0.0105,<32,Negative,,1,1,1
1537,BS556,556,5/23/2013,6/13/2013,0.0265,<32,Negative,0.0095,<32,Negative,,1,1,1
1538,BS558,558,5/23/2013,6/13/2013,0.0495,<32,Negative,0.0445,<32,Negative,,1,1,1
1539,BS564,564,5/23/2013,6/13/2013,0.017,<32,Negative,0.025,<32,Negative,,1,1,1
1540,BS569,569,5/23/2013,6/13/2013,0.0085,<32,Negative,0.0245,<32,Negative,,1,1,1
1541,BS572,572,5/23/2013,6/13/2013,0.0445,<32,Negative,0.0335,<32,Negative,,1,1,1
1542,BS578,578,5/23/2013,6/13/2013,0.0365,<32,Negative,0.0575,<32,Negative,,1,1,1
1543,BS612,612,5/23/2013,6/13/2013,0.025,<32,Negative,0.0395,<32,Negative,,1,1,1
1544,BS624,624,5/23/2013,6/13/2013,0.0125,<32,Negative,0.027,<32,Negative,,1,1,1
1545,BS630,630,5/23/2013,6/13/2013,0.038,<32,Negative,0.0215,<32,Negative,,1,1,1
1546,BS631,631,5/23/2013,6/13/2013,0.0255,<32,Negative,0.0175,<32,Negative,,1,1,1
1547,BS634,634,5/23/2013,6/13/2013,0.027,<32,Negative,0.0045,<32,Negative,,1,1,1
1548,BS635,635,5/23/2013,6/13/2013,0.013,<32,Negative,0.0105,<32,Negative,,1,1,1
1549,BS639,639,5/23/2013,6/13/2013,0.047,<32,Negative,0.035,<32,Negative,,1,1,1
1550,BS640,640,5/23/2013,6/13/2013,0.0255,<32,Negative,0.036,<32,Negative,,1,1,1
1551,BS641,641,5/23/2013,6/13/2013,0.0365,<32,Negative,0.0205,<32,Negative,,1,1,1
1552,BS643,643,5/23/2013,6/13/2013,-0.001,<32,Negative,0.011,<32,Negative,,1,1,1
1553,BS645,645,5/23/2013,6/13/2013,0.0365,<32,Negative,0.008,<32,Negative,,1,1,1
1554,BS652,652,5/23/2013,6/13/2013,0.0055,<32,Negative,0.031,<32,Negative,,1,1,1
1555,BS117,117,5/24/2013,6/13/2013,-0.005,<32,Negative,0.005,<32,Negative,,1,1,1
1556,BS144,144,5/24/2013,6/13/2013,0.0165,<32,Negative,0.03,<32,Negative,,1,1,1
1557,BS146,146,5/24/2013,6/13/2013,0.0175,<32,Negative,0.0135,<32,Negative,,1,1,1
1558,BS154,154,5/24/2013,6/13/2013,0.031,<32,Negative,0.0185,<32,Negative,,1,1,1
1559,BS157,157,5/24/2013,6/13/2013,0.0355,<32,Negative,0.028,<32,Negative,,1,1,1
